lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Aeropedellus <b><span style=""color:#02138e"">(nom valide)</span></b>",188854,Aeropedellus!188854,Animalia,Insectes,Arthropodes,aer,15,287
"Aesalus <b><span style=""color:#02138e"">(nom valide)</span></b>",200274,Aesalus!200274,Animalia,Insectes,Arthropodes,aes,15,288
"Aeshna <b><span style=""color:#02138e"">(nom valide)</span></b>",188857,Aeshna!188857,Animalia,Insectes,Arthropodes,aes,15,289
"Aetacarus <b><span style=""color:#02138e"">(nom valide)</span></b>",201190,Aetacarus!201190,Animalia,Arachnides,Arthropodes,aet,15,290
"Aethalura <b><span style=""color:#02138e"">(nom valide)</span></b>",210618,Aethalura!210618,Animalia,Insectes,Arthropodes,aet,15,291
"Aethecerus <b><span style=""color:#02138e"">(nom valide)</span></b>",209691,Aethecerus!209691,Animalia,Insectes,Arthropodes,aet,15,292
"Aethes <b><span style=""color:#02138e"">(nom valide)</span></b>",211581,Aethes!211581,Animalia,Insectes,Arthropodes,aet,15,293
"Aethiopellina <b><span style=""color:#02138e"">(nom valide)</span></b>",203087,Aethiopellina!203087,Animalia,Entognathes,Arthropodes,aet,15,294
"Aethus <b><span style=""color:#02138e"">(nom valide)</span></b>",188861,Aethus!188861,Animalia,Insectes,Arthropodes,aet,15,295
"Aetideopsis <b><span style=""color:#02138e"">(nom valide)</span></b>",352857,Aetideopsis!352857,Animalia,Crustacés,Arthropodes,aet,15,296
"Aetideus <b><span style=""color:#02138e"">(nom valide)</span></b>",352853,Aetideus!352853,Animalia,Crustacés,Arthropodes,aet,15,297
"Aetomylaeus <b><span style=""color:#02138e"">(nom valide)</span></b>",419406,Aetomylaeus!419406,Animalia,Poissons,Chordés,aet,15,298
"Aforia <b><span style=""color:#02138e"">(nom valide)</span></b>",669366,Aforia!669366,Animalia,Gastéropodes,Mollusques,afo,15,299
"Afriberina <b><span style=""color:#02138e"">(nom valide)</span></b>",210624,Afriberina!210624,Animalia,Insectes,Arthropodes,afr,15,300
"Africorchestia <b><span style=""color:#02138e"">(nom valide)</span></b>",781326,Africorchestia!781326,Animalia,Crustacés,Arthropodes,afr,15,301
